collaborateur;periode;ref_vehicule;montant_anv_eur;siret_etablissement
BERNARD Lucie;01/2024;V-003;240,00;84230612300017
DUPONT Claire;01/2024;V-001;210,00;84230612300017
DURAND Alex;01/2024;V-012;202,50;84230612300017
MARTIN Paul;01/2024;V-002;175,00;84230612300017
MOREAU Emma;01/2024;V-005;280,00;84230612300017
BERNARD Lucie;02/2024;V-003;240,00;84230612300017
DUPONT Claire;02/2024;V-001;210,00;84230612300017
DURAND Alex;02/2024;V-012;202,50;84230612300017
FOURNIER Léo;02/2024;V-006;195,00;84230612300017
MARTIN Paul;02/2024;V-002;175,00;84230612300017
MOREAU Emma;02/2024;V-005;280,00;84230612300017
BERNARD Lucie;03/2024;V-003;240,00;84230612300017
DUPONT Claire;03/2024;V-001;210,00;84230612300017
DURAND Alex;03/2024;V-012;202,50;84230612300017
FOURNIER Léo;03/2024;V-006;195,00;84230612300017
MARTIN Paul;03/2024;V-002;175,00;84230612300017
MOREAU Emma;03/2024;V-005;280,00;84230612300017
BERNARD Lucie;04/2024;V-003;240,00;84230612300017
DUPONT Claire;04/2024;V-001;210,00;84230612300017
DURAND Alex;04/2024;V-012;202,50;84230612300017
FOURNIER Léo;04/2024;V-006;195,00;84230612300017
MARTIN Paul;04/2024;V-002;175,00;84230612300017
MOREAU Emma;04/2024;V-005;280,00;84230612300017
BERNARD Lucie;05/2024;V-003;240,00;84230612300017
DUPONT Claire;05/2024;V-001;210,00;84230612300017
DURAND Alex;05/2024;V-012;202,50;84230612300017
FOURNIER Léo;05/2024;V-006;195,00;84230612300017
MARTIN Paul;05/2024;V-002;175,00;84230612300017
MOREAU Emma;05/2024;V-005;280,00;84230612300017
BERNARD Lucie;06/2024;V-003;240,00;84230612300017
DUPONT Claire;06/2024;V-001;210,00;84230612300017
DURAND Alex;06/2024;V-012;202,50;84230612300017
FOURNIER Léo;06/2024;V-006;195,00;84230612300017
MARTIN Paul;06/2024;V-002;175,00;84230612300017
MOREAU Emma;06/2024;V-005;280,00;84230612300017
BERNARD Lucie;07/2024;V-003;240,00;84230612300017
DUPONT Claire;07/2024;V-001;210,00;84230612300017
DURAND Alex;07/2024;V-012;202,50;84230612300017
FOURNIER Léo;07/2024;V-006;195,00;84230612300017
MARTIN Paul;07/2024;V-002;175,00;84230612300017
MOREAU Emma;07/2024;V-005;280,00;84230612300017
BERNARD Lucie;08/2024;V-003;240,00;84230612300017
DUPONT Claire;08/2024;V-001;210,00;84230612300017
DURAND Alex;08/2024;V-012;202,50;84230612300017
FOURNIER Léo;08/2024;V-006;195,00;84230612300017
MARTIN Paul;08/2024;V-002;175,00;84230612300017
MOREAU Emma;08/2024;V-005;280,00;84230612300017
BERNARD Lucie;09/2024;V-003;240,00;84230612300017
DUPONT Claire;09/2024;V-001;210,00;84230612300017
DURAND Alex;09/2024;V-012;202,50;84230612300017
FOURNIER Léo;09/2024;V-006;195,00;84230612300017
MARTIN Paul;09/2024;V-002;175,00;84230612300017
MOREAU Emma;09/2024;V-005;280,00;84230612300017
BERNARD Lucie;10/2024;V-003;240,00;84230612300017
DUPONT Claire;10/2024;V-001;210,00;84230612300017
DURAND Alex;10/2024;V-012;202,50;84230612300017
FOURNIER Léo;10/2024;V-006;195,00;84230612300017
MARTIN Paul;10/2024;V-002;175,00;84230612300017
MOREAU Emma;10/2024;V-005;280,00;84230612300017
BERNARD Lucie;11/2024;V-003;240,00;84230612300017
DUPONT Claire;11/2024;V-001;210,00;84230612300017
DURAND Alex;11/2024;V-012;202,50;84230612300017
FOURNIER Léo;11/2024;V-006;195,00;84230612300017
MARTIN Paul;11/2024;V-002;175,00;84230612300017
MOREAU Emma;11/2024;V-005;280,00;84230612300017
BERNARD Lucie;12/2024;V-003;240,00;84230612300017
DUPONT Claire;12/2024;V-001;210,00;84230612300017
DURAND Alex;12/2024;V-012;202,50;84230612300017
FOURNIER Léo;12/2024;V-006;195,00;84230612300017
MARTIN Paul;12/2024;V-002;175,00;84230612300017
MOREAU Emma;12/2024;V-005;280,00;84230612300017
BERNARD Lucie;01/2025;V-003;240,00;84230612300017
DUPONT Claire;01/2025;V-001;210,00;84230612300017
DURAND Alex;01/2025;V-012;202,50;84230612300017
FOURNIER Léo;01/2025;V-006;195,00;84230612300017
MARTIN Paul;01/2025;V-002;175,00;84230612300017
MOREAU Emma;01/2025;V-005;280,00;84230612300017
BERNARD Lucie;02/2025;V-003;240,00;84230612300017
DUPONT Claire;02/2025;V-001;210,00;84230612300017
