collaborateur;poste;ref_vehicule;plaque;vehicule;motorisation;mode_detention;premiere_immat;date_attribution;prix_achat_ttc_eur;loyer_annuel_ttc_eur;carburant_employeur;siret_etablissement
DUPONT Claire;Direction;V-001;GA-214-KX;Peugeot 308;thermique;Achat;15/06/2021;01/03/2022;28 000;;NON;84230612300017
MARTIN Paul;Direction;V-002;FD-830-PL;Renault Talisman;thermique;Achat;01/06/2017;01/05/2023;35 000;;NON;84230612300017
BERNARD Lucie;Consultante;V-003;GK-102-RS;Renault Clio;thermique;LLD;;01/01/2024;;9 600;NON;84230612300017
PETIT Hugo;Consultant;V-004;GN-467-TT;Peugeot 208;thermique;Achat;20/04/2023;01/06/2024;24 000;;NON;84230612300017
MOREAU Emma;Commercial;V-005;FT-556-MB;Citroën C4;thermique;LLD;;01/11/2022;;8 400;OUI;84230612300017
FOURNIER Léo;Commercial;V-006;GH-909-AZ;Volkswagen Passat;thermique;Achat;05/09/2022;01/02/2024;26 000;;OUI;84230612300017
GIRARD Anna;Direction;V-007;GW-118-JD;Peugeot 3008;thermique;Achat;05/12/2024;01/03/2025;32 000;;NON;84230612300017
LAMBERT Tom;Consultant;V-008;GX-330-LM;Renault Mégane;thermique;LLD;;01/04/2025;;10 800;NON;84230612300017
ROUSSEAU Zoé;Commercial;V-009;GY-742-QQ;BMW Série 1;thermique;LLD;;01/06/2025;;12 000;OUI;84230612300017
VINCENT Max;Consultant;V-010;HA-005-BC;Peugeot 2008;thermique;Achat;;01/09/2025;21 000;;NON;84230612300017
HENRY Jade;Direction;V-011;GZ-661-EE;Tesla Model 3;electrique;Achat;10/04/2025;01/05/2025;45 000;;NON;84230612300017
NOEL Sam;Consultant;V-012;FY-284-HN;Audi A3;thermique;Achat;01/10/2021;15/02/2025;27 000;;NON;84230612300017
NB : le véhicule V-012 était attribué à DURAND Alex du 15/11/2021 au 31/01/2025 avant sa réattribution au titulaire actuel.
