mois;salarie;vehicule_id;anv_vehicule_declare_eur;siret
2024-01;BERNARD Lucie;V-003;240.00;84230612300017
2024-01;DUPONT Claire;V-001;210.00;84230612300017
2024-01;DURAND Alex;V-012;202.50;84230612300017
2024-01;MARTIN Paul;V-002;175.00;84230612300017
2024-01;MOREAU Emma;V-005;280.00;84230612300017
2024-02;BERNARD Lucie;V-003;240.00;84230612300017
2024-02;DUPONT Claire;V-001;210.00;84230612300017
2024-02;DURAND Alex;V-012;202.50;84230612300017
2024-02;FOURNIER Léo;V-006;195.00;84230612300017
2024-02;MARTIN Paul;V-002;175.00;84230612300017
2024-02;MOREAU Emma;V-005;280.00;84230612300017
2024-03;BERNARD Lucie;V-003;240.00;84230612300017
2024-03;DUPONT Claire;V-001;210.00;84230612300017
2024-03;DURAND Alex;V-012;202.50;84230612300017
2024-03;FOURNIER Léo;V-006;195.00;84230612300017
2024-03;MARTIN Paul;V-002;175.00;84230612300017
2024-03;MOREAU Emma;V-005;280.00;84230612300017
2024-04;BERNARD Lucie;V-003;240.00;84230612300017
2024-04;DUPONT Claire;V-001;210.00;84230612300017
2024-04;DURAND Alex;V-012;202.50;84230612300017
2024-04;FOURNIER Léo;V-006;195.00;84230612300017
2024-04;MARTIN Paul;V-002;175.00;84230612300017
2024-04;MOREAU Emma;V-005;280.00;84230612300017
2024-05;BERNARD Lucie;V-003;240.00;84230612300017
2024-05;DUPONT Claire;V-001;210.00;84230612300017
2024-05;DURAND Alex;V-012;202.50;84230612300017
2024-05;FOURNIER Léo;V-006;195.00;84230612300017
2024-05;MARTIN Paul;V-002;175.00;84230612300017
2024-05;MOREAU Emma;V-005;280.00;84230612300017
2024-06;BERNARD Lucie;V-003;240.00;84230612300017
2024-06;DUPONT Claire;V-001;210.00;84230612300017
2024-06;DURAND Alex;V-012;202.50;84230612300017
2024-06;FOURNIER Léo;V-006;195.00;84230612300017
2024-06;MARTIN Paul;V-002;175.00;84230612300017
2024-06;MOREAU Emma;V-005;280.00;84230612300017
2024-07;BERNARD Lucie;V-003;240.00;84230612300017
2024-07;DUPONT Claire;V-001;210.00;84230612300017
2024-07;DURAND Alex;V-012;202.50;84230612300017
2024-07;FOURNIER Léo;V-006;195.00;84230612300017
2024-07;MARTIN Paul;V-002;175.00;84230612300017
2024-07;MOREAU Emma;V-005;280.00;84230612300017
2024-08;BERNARD Lucie;V-003;240.00;84230612300017
2024-08;DUPONT Claire;V-001;210.00;84230612300017
2024-08;DURAND Alex;V-012;202.50;84230612300017
2024-08;FOURNIER Léo;V-006;195.00;84230612300017
2024-08;MARTIN Paul;V-002;175.00;84230612300017
2024-08;MOREAU Emma;V-005;280.00;84230612300017
2024-09;BERNARD Lucie;V-003;240.00;84230612300017
2024-09;DUPONT Claire;V-001;210.00;84230612300017
2024-09;DURAND Alex;V-012;202.50;84230612300017
2024-09;FOURNIER Léo;V-006;195.00;84230612300017
2024-09;MARTIN Paul;V-002;175.00;84230612300017
